iter	Logloss
0	0.6723981248
1	0.6513641229
2	0.633117498
3	0.6171964641
4	0.6028101808
5	0.5893776566
6	0.5780277769
7	0.567685769
8	0.5580871552
9	0.5497306164
10	0.5422041964
11	0.53512655
12	0.5288711074
13	0.5230101403
14	0.5184933201
15	0.5148473518
16	0.5114007329
17	0.507106381
18	0.5030133099
19	0.4991565751
20	0.495563853
21	0.4925574087
22	0.4894892697
23	0.4867768562
24	0.4840607054
25	0.4815054011
26	0.4795550011
27	0.4774110291
28	0.4758638973
29	0.4740122614
30	0.4703730523
31	0.4667597153
32	0.4656497642
33	0.462449541
34	0.4615546391
35	0.4585670441
36	0.4568019486
37	0.4551220842
38	0.4544730885
39	0.4525153041
40	0.4518552712
41	0.45009944
42	0.4495423785
43	0.4489495911
44	0.4470580492
45	0.4464801547
46	0.4459412091
47	0.4447326486
48	0.444239296
49	0.4436901507
50	0.4426763103
51	0.4422844761
52	0.4418756733
53	0.4409447699
54	0.4397505484
55	0.439007679
56	0.4380734415
57	0.4373660735
58	0.4363376182
59	0.4355676286
60	0.4353244462
61	0.4346388601
62	0.434198657
63	0.4336435637
64	0.4331880807
65	0.4326938927
66	0.4322789133
67	0.4318431625
68	0.431399895
69	0.4310112611
70	0.4306975339
71	0.4304948733
72	0.4294584155
73	0.4288932906
74	0.428622134
75	0.4284515699
76	0.4282524967
77	0.4274891609
78	0.4270313879
79	0.4268233337
80	0.4264645707
81	0.4261470084
82	0.4253132776
83	0.4251025734
84	0.4249145915
85	0.4243869382
86	0.4241076035
87	0.4237273113
88	0.4235778113
89	0.4234024578
90	0.4232728656
91	0.42283267
92	0.4226462656
93	0.4224591185
94	0.4222318826
95	0.4217740695
96	0.421363665
97	0.4210934224
98	0.4209478108
99	0.4207907864
100	0.4204576005
101	0.4203291377
102	0.4198461264
103	0.4196785055
104	0.4195545749
105	0.4192629147
106	0.4188884513
107	0.4186592138
108	0.4184221753
109	0.4183104886
110	0.4181394411
111	0.4174927051
112	0.4171884891
113	0.4169221855
114	0.4166687292
115	0.4165401533
116	0.416247117
117	0.4159758745
118	0.4156237626
119	0.4154628488
120	0.4152860533
121	0.4150290764
122	0.4149144398
123	0.4144905556
124	0.4142855903
125	0.4140777478
126	0.4139332649
127	0.4138206168
128	0.4137011689
129	0.4135863927
130	0.4134988849
131	0.4133892546
132	0.4129346743
133	0.4128134392
134	0.4126598887
135	0.4124308699
136	0.4123336793
137	0.412165464
138	0.4120500718
139	0.4119429323
140	0.4118583929
141	0.4115671435
142	0.4113734475
143	0.4111314309
144	0.4109507014
145	0.4107701392
146	0.4106630487
147	0.4105815489
148	0.4103463817
149	0.4098135315
150	0.4096006813
151	0.409505614
152	0.4093623032
153	0.4091551168
154	0.4089475056
155	0.40883034
156	0.4085960493
157	0.4084882682
158	0.4084093653
159	0.408255152
160	0.4081650103
161	0.4080385159
162	0.4078836618
163	0.4077427191
164	0.407640511
165	0.4075637011
166	0.4074913018
167	0.4074295988
168	0.4073261448
169	0.4071291645
170	0.4070404681
171	0.4069587396
172	0.4069024924
173	0.4068213307
174	0.4067570645
175	0.406692531
176	0.4066085358
177	0.4065068322
178	0.4064134066
179	0.4061687735
180	0.4059481654
181	0.4057326354
182	0.4054731138
183	0.405385726
184	0.4053254198
185	0.405256816
186	0.4050294058
187	0.40495063
188	0.4048568863
189	0.4047462136
190	0.4046836315
191	0.404529981
192	0.4044563747
193	0.404280692
194	0.4042077783
195	0.4041041767
196	0.4040200544
197	0.4039325785
198	0.4037676873
199	0.4037112029
200	0.4035247626
201	0.4034541779
202	0.4033694251
203	0.4032851406
204	0.4031076887
205	0.402938489
206	0.40285977
207	0.4027092967
208	0.4025560953
209	0.4024365498
210	0.4023587731
211	0.4022773349
212	0.4022360293
213	0.4021690585
214	0.4021036642
215	0.4020632647
216	0.40200964
217	0.4019460191
218	0.4018799671
219	0.4018149315
220	0.40165361
221	0.4015757987
222	0.4014314857
223	0.4013615954
224	0.401204622
225	0.4010698003
226	0.4009377831
227	0.4008915957
228	0.40081048
229	0.4007564129
230	0.400626357
231	0.4005557222
232	0.4004965268
233	0.4004524158
234	0.400390177
235	0.4003335841
236	0.400278208
237	0.4002050877
238	0.400145282
239	0.4001088844
240	0.4000499682
241	0.3999989355
242	0.3999504497
243	0.399905317
244	0.39986354
245	0.3998079189
246	0.3997224477
247	0.3995466148
248	0.3994940966
249	0.3994381344
250	0.3993040267
251	0.3992502019
252	0.399189774
253	0.3991386416
254	0.399087861
255	0.3990399403
256	0.3990137242
257	0.3989735591
258	0.3989043554
259	0.3988547695
260	0.3987693205
261	0.3986589443
262	0.3986287133
263	0.3985681035
264	0.3985304366
265	0.3984985647
266	0.3984621573
267	0.3983615614
268	0.3983196022
269	0.3982622174
270	0.3982056536
271	0.3981635758
272	0.3981300138
273	0.3981035559
274	0.3980416957
275	0.3979877504
276	0.3979181066
277	0.3978807778
278	0.3977965483
279	0.3977354121
280	0.3977000553
281	0.3976166018
282	0.3975815975
283	0.3975399672
284	0.3975056707
285	0.397477315
286	0.3974183551
287	0.397371998
288	0.3973108373
289	0.3972791408
290	0.397221939
291	0.3971893834
292	0.3971528743
293	0.3971240373
294	0.3970863814
295	0.3970245093
296	0.3969007439
297	0.3968479198
298	0.3968110122
299	0.396771745
300	0.3967315054
301	0.3967041782
302	0.3966692249
303	0.3966233329
304	0.3965938209
305	0.396541663
306	0.3964286002
307	0.3963940224
308	0.3963654459
309	0.3963345845
310	0.396302
311	0.3962396756
312	0.3961640676
313	0.3961335392
314	0.3961009436
315	0.3960687548
316	0.3960243875
317	0.3959707909
318	0.3959128193
319	0.3958818251
320	0.3957746769
321	0.3957161291
322	0.3955941322
323	0.395513153
324	0.3954462232
325	0.3954051578
326	0.3953522724
327	0.3953169077
328	0.395236037
329	0.3951597777
330	0.3951137391
331	0.3950467757
332	0.3950143018
333	0.3949441754
334	0.3949075948
335	0.3948470047
336	0.3948101892
337	0.3947623574
338	0.3947209757
339	0.3947027396
340	0.3946426643
341	0.3945430862
342	0.3945130037
343	0.3944671933
344	0.3944127596
345	0.394380132
346	0.3943562368
347	0.3943079708
348	0.394256876
349	0.3942236054
350	0.3941390825
351	0.3940852284
352	0.3940535112
353	0.3940219431
354	0.393989542
355	0.3939616269
356	0.3938790732
357	0.3938586517
358	0.3938337885
359	0.3938072396
360	0.3937553554
361	0.3937316083
362	0.3936690879
363	0.393650388
364	0.3936234987
365	0.3935709285
366	0.3935421781
367	0.3935128194
368	0.3934741021
369	0.3934458935
370	0.3933779464
371	0.3933375551
372	0.3933053472
373	0.3932451881
374	0.3932007919
375	0.3931490159
376	0.3931073727
377	0.3930711026
378	0.3930584712
379	0.3929925952
380	0.3929678933
381	0.392928087
382	0.3929176344
383	0.3928996105
384	0.3928743355
385	0.3928428558
386	0.3928206496
387	0.3927867433
388	0.3927332855
389	0.3926812935
390	0.3926575098
391	0.3926364029
392	0.392597799
393	0.3925607532
394	0.3925068373
395	0.3924700004
396	0.3924410426
397	0.3923927329
398	0.392355969
399	0.3923431426
400	0.3923063344
401	0.3922689053
402	0.3922182963
403	0.3921878902
404	0.3921618103
405	0.3921427872
406	0.3921065684
407	0.392060725
408	0.3920423272
409	0.3920138917
410	0.391973527
411	0.3919333515
