iter	Passed	Remaining
0	3063	3060307
1	5218	2604015
2	6783	2254427
3	8709	2168779
4	10056	2001155
5	11299	1871981
6	12915	1832127
7	15218	1887142
8	16985	1870282
9	18639	1845303
10	21240	1909698
11	23474	1932772
12	25510	1936861
13	27876	1963295
14	31161	2046276
15	37555	2309658
16	41757	2414563
17	45612	2488397
18	49890	2575944
19	54269	2659201
20	58469	2725791
21	62914	2796834
22	67091	2849944
23	72940	2966265
24	78371	3056493
25	83610	3132179
26	90353	3256085
27	95393	3311526
28	102334	3426453
29	106971	3458738
30	110905	3466684
31	114489	3463310
32	123115	3607654
33	125278	3559370
34	129044	3557933
35	132837	3557080
36	141101	3672445
37	145995	3695997
38	150009	3696386
39	154148	3699562
40	159438	3729299
41	163275	3724239
42	168964	3760445
43	174004	3780651
44	177759	3772460
45	182195	3778571
46	186863	3788952
47	190456	3777387
48	193743	3760199
49	197302	3748751
50	200788	3736244
51	204463	3727535
52	207947	3715584
53	212195	3717345
54	215498	3702649
55	219954	3707808
56	225200	3725683
57	230500	3743646
58	234020	3732426
59	235876	3695399
60	239309	3683804
61	243004	3676428
62	247174	3676224
63	250988	3670711
64	254296	3657955
65	257375	3642246
66	261264	3638211
67	265545	3639540
68	268251	3619447
69	271941	3612940
70	274955	3597657
71	278848	3594044
72	283180	3595998
73	287439	3596882
74	291897	3600067
75	295429	3591806
76	298946	3583470
77	303203	3584020
78	307601	3586089
79	310933	3575732
80	314362	3566651
81	317408	3553430
82	320942	3545831
83	324488	3538469
84	327493	3525373
85	331770	3526024
86	335696	3522881
87	339734	3520880
88	343568	3516750
89	347335	3511943
90	351449	3510635
91	355632	3509934
92	359733	3508369
93	362991	3498619
94	366936	3495551
95	371718	3500346
96	375728	3497757
97	380154	3498973
98	383465	3489922
99	387210	3484898
100	392032	3489479
101	393940	3468224
102	397706	3463521
103	401155	3456105
104	404654	3449194
105	408743	3447327
106	412991	3446739
107	417166	3445485
108	420739	3439254
109	424005	3430586
110	429166	3437196
